English Word,Spanish Word,English Word Origin,Spanish Word Origin,Notes,George IRT Analyses Removals,George IRT Analyses Additions,Additional IRT Analyses Comments
meow,miau (cat sound),English Level 1 Short Form,Spanish Level 1 Short Form,,,,
ouch,¡ay! (Ow; jeez; oh dear),English Level 1 Short Form,Spanish Level 1 Short Form,,,,
dog,perro (dog),English Level 1 Short Form,Spanish Level 1 Short Form,,,,
car,carro/coche (car),English Level 1 Short Form,Spanish Level 1 Short Form,,,,
ball,pelota (ball),English Level 1 Short Form,Spanish Level 1 Short Form,,,,
book,libro (book),English Level 1 Short Form,Spanish Level 1 Short Form,,,,
bread,pan (bread),English Level 1 Short Form,Spanish Level 1 Short Form,,,,
water,agua (water),English Level 1 Short Form,Spanish Level 1 Short Form,,REMOVED AGUA FROM DLL-ES LEVEL 1; REMOVED WATER FROM DLL-ED LEVEL 1,ADDED TV (TV)/ ADDED DRESS,"Both MCDI Short Form english and spanish have water/agua, but they are in different categories on long forms. We have now matched them for the purpose of short form supplements"
pants,pantalón (pants),English Level 1 Short Form,Spanish Level 1 Short Form,,,,
shoe,zapato (shoe),English Level 1 Short Form,Spanish Level 1 Short Form,,,,
eye,ojos (eyes),English Level 1 Short Form,Spanish Level 1 Short Form,,,,
kitchen,cocina (kitchen),English Level 1 Short Form,Spanish Level 1 Short Form,,,,
TV (television),televisión,English Level 1 Short Form,Spanish Level 1 Short Form,,,,
bottle,botella/mamila (bottle),English Level 1 Short Form,Spanish Level 1 Short Form,,,,
flower,flor (flower),English Level 1 Short Form,Spanish Level 1 Short Form,,,,
grandma (or word used in your family),abuela (grandma),English Level 1 Short Form,Spanish Level 1 Short Form,,,,
mommy (or word used in your family),mamá/mami (mom),English Level 1 Short Form,Spanish Level 1 Short Form,,,,
please,por favor (please),English Level 1 Short Form,Spanish Level 1 Short Form,,,,
Today,hoy (today),English Level 1 Short Form,Spanish Level 1 Short Form,,,,
Big,grande (big),English Level 1 Short Form,Spanish Level 1 Short Form,,,,
Broken,roto (broken),English Level 1 Short Form,Spanish Level 1 Short Form,,,,
Pretty,bonita,English Level 1 Short Form,Spanish Level 1 Short Form,,,,
How,cómo (how),English Level 1 Short Form,Spanish Level 1 Short Form,,,,
Who,quién (who),English Level 1 Short Form,Spanish Level 1 Short Form,,,,
Out,"afuera (outside, out)",English Level 1 Short Form,Spanish Level 1 Short Form,,,,
choo choo (train sound),tutú (choo choo),English Level 1 Short Form,Spanish Level 1 Long Form,,,,
uh oh,X,English Level 1 Short Form,X,"Original ""uh oh"" is included from MCDI short form for administration purposes, but we did not include spanish equivalent (""oh oh"") for the DLL-ES short form supplements because (1) it is not on the Spanish forms and (2) is no way to distinguish the two sounds in the two language",,,
bird,pájaro (bird),English Level 1 Short Form,Spanish Level 1 Long Form,,REMOVED PAJARO FROM DLL-ES LEVEL 1,ADDED REFRIGERADOR (REFRIGERATOR),
duck,pato (duck),English Level 1 Short Form,Spanish Level 1 Long Form,,,,
kitty,X,English Level 1 Short Form,X,"Original ""kitty"" is included from MCDI short form for administration purspoes but we did not include Spanish equivalent (""gatito"") for the DLL-ES short form supplements because (1) it is not on the Spanish forms and (2) it is a diminutive for gato which is already asked and matched with cat",,,
lion,león (lion),English Level 1 Short Form,Spanish Level 1 Long Form,,,,
mouse,ratón (mouse),English Level 1 Short Form,Spanish Level 1 Long Form,,,,
stroller,carreola (stroller),English Level 1 Short Form,Spanish Level 1 Long Form,,,,
doll,muñeca (doll),English Level 1 Short Form,Spanish Level 1 Long Form,,,,
candy,dulce (candy),English Level 1 Short Form,Spanish Level 1 Long Form,,,,
cereal,cereal,English Level 1 Short Form,Spanish Level 1 Long Form,,REMOVED CEREAL FROM DLL-ES LEVEL 1,ADDED HORMIGA (ANT),
cookie,galleta (cookie),English Level 1 Short Form,Spanish Level 1 Long Form,,,,
juice,jugo (juice),English Level 1 Short Form,Spanish Level 1 Long Form,,,,
toast,tostada (toast),English Level 1 Short Form,Experimenter Translation,,,,
hat,sombrero (hat),English Level 1 Short Form,Spanish Level 1 Long Form,,REMOVED SOMBRERO FROM DLL-ES LEVEL 1,ADDED PIES (FEET),
sock,calcetines (socks),English Level 1 Short Form,Spanish Level 1 Long Form,,,,
head,cabeza (head),English Level 1 Short Form,Spanish Level 1 Long Form,,,,
leg,piernas (legs),English Level 1 Short Form,Spanish Level 1 Long Form,,,,
nose,nariz (nose),English Level 1 Short Form,Spanish Level 1 Long Form,,REMOVED NARIZ FROM DLL-ES LEVEL 1,ADDED COCINA (KITCHEN),Cocina is already a match on original SF forms (see row 13)
tooth,dientes (teeth),English Level 1 Short Form,Spanish Level 1 Long Form,,,,
chair,silla (chair),English Level 1 Short Form,Spanish Level 1 Long Form,,,,
couch,sofá (couch),English Level 1 Short Form,Spanish Level 1 Long Form,,,,
table,mesa (table),English Level 1 Short Form,Spanish Level 1 Long Form,,,,
