English Word,Spanish Word,Include or Exclude from Long Form Supplement,Long Form Supplement Exclusion Reason
alligator,cocodrilo (crocidile),Excluded,Less than 10% for at least one of the words
animal,animal (animal),Excluded,Generic
deer,venado (deer),Excluded,Less than 10% for at least one of the words
donkey,burro (donkey),Excluded,Less than 10% for at least one of the words
elephant,elefante (elephant),Excluded,Less than 10% for at least one of the words
fish (animal),pescado (fish) (animal),Excluded,Less than 10% for at least one of the words
giraffe,jirafa (giraffe),Excluded,Less than 10% for at least one of the words
goose,ganso (goose),Excluded,Less than 10% for at least one of the words
hen,gallina (hen),Excluded,Less than 10% for at least one of the words
lamb,borrego (lamb),Excluded,Less than 10% for at least one of the words
mouse,ratón (mouse),Excluded,Less than 10% for at least one of the words
owl,búho (owl),Excluded,Less than 10% for at least one of the words
penguin,pingüino (penguin),Excluded,Less than 10% for at least one of the words
pig,puerco (pig),Excluded,Less than 10% for at least one of the words
squirrel,ardilla (squirrel),Excluded,Less than 10% for at least one of the words
turkey,guajolote (turkey),Excluded,Less than 10% for at least one of the words
turtle,tortuga (turtle),Excluded,Less than 10% for at least one of the words
wolf,lobo (wolf),Excluded,Less than 10% for at least one of the words
zebra,cebra (zebra),Excluded,Less than 10% for at least one of the words
bus,autobús (bus),Excluded,Less than 10% for at least one of the words
fire truck,camión de bombero (fire truck),Excluded,Less than 10% for at least one of the words
helicopter,helicóptero (helicopter),Excluded,Less than 10% for at least one of the words
sled,trineo,Excluded,Less than 10% for at least one of the words
stroller,carreola (stroller),Excluded,Less than 10% for at least one of the words
tractor,tractor,Excluded,Less than 10% for at least one of the words
tricycle,triciclo (tricycle),Excluded,Less than 10% for at least one of the words
bat,bat (bat),Excluded,Less than 10% for at least one of the words
crayon,crayolas (crayon),Excluded,Less than 10% for at least one of the words
pen,pluma/plumones (pen),Excluded,Less than 10% for at least one of the words
play dough,plastilina (play-doh),Excluded,Less than 10% for at least one of the words
toy,juguete (toy),Excluded,Generic
butter,mantequilla (butter),Excluded,Less than 10% for at least one of the words
carrots,zanahoria (carrot),Excluded,Less than 10% for at least one of the words
fish (food),pescado (fish) (food),Excluded,Less than 10% for at least one of the words
food,comida (food),Excluded,Generic
green beans,ejotes (green beans),Excluded,Less than 10% for at least one of the words
gum,chicle (chewing gum),Excluded,Less than 10% for at least one of the words
hamburger,hamburguesa (hamburger),Excluded,Less than 10% for at least one of the words
