word,translation,notes
tutú,choo choo,
pájaro,bird,
pato,duck,
león,lion,
ratón,mouse,
carreola,stroller,
muñeca,doll,
dulce,candy,
cereal,cereal,
galleta,cookie,
jugo,juice,
tostada,toast,
sombrero,hat,
gorra,hat,
calcetín,socks,
cabeza,head,
piernas,legs,
nariz,nose,
dientes,teeth,
silla,chair,
sofá,couch,
mesa,table,
cobija,blanket,
taza,cup,
plato,dish,
lámpara,lamp,
planta,plant,
radio,radio,
cuchara,spoon,
casa,home,
casa,house,
luna,moon,
afuera,outside,
lluvia,rain,
piedra,rock,
agua,water,
nana,babysitter,
niña,girl,
baño,bath,
no,don’t,
no,no,
hola,hi,
tortillitas,little tortillas,
buenas noches,good night,
esperar(se),wait,
romper,break,
alimentar,feed,
acabar,finish,
ayudar,help,
brincar,jump,
saltar,jump,
patear,kick,
besar,kiss,
empujar,push,
cantar,sing,
sonreír,smile,
noche,night,
no hay más,all gone,
oscuro,dark,
rápido (descriptive),fast,
lastimado,hurt,lastimar(se)
suave,soft,
yo,I,
me,me,
lejos,away,
otro/otra vez,other,
algunos,some,
